Molecule;Target;ATC;Action;pCHEMBL
adenosine;adenosine a1 receptor;C01EB10;agonist;7.000000
caffeine;adenosine a1 receptor;N06BC01;antagonist;4.821658
desvenlafaxine;adenosine a1 receptor;N06AX23;NA;5.000000
iloperidone;adenosine a1 receptor;N05AX14;NA;5.000000
istradefylline;adenosine a1 receptor;N04-1;antagonist;6.080000
mefloquine;adenosine a1 receptor;P01BC02;antagonist;6.170000
regadenoson;adenosine a1 receptor;C01EB21;agonist;5.000000
theophylline;adenosine a1 receptor;R03DA04;antagonist;5.127067
adenosine;adenosine a2a receptor;C01EB10;agonist;6.510000
caffeine;adenosine a2a receptor;N06BC01;antagonist;5.025018
etamiphylline;adenosine a2a receptor;R03DA06;NA;5.000000
iloperidone;adenosine a2a receptor;N05AX14;NA;5.000000
istradefylline;adenosine a2a receptor;N04-1;antagonist;7.081477
mefloquine;adenosine a2a receptor;P01BC02;antagonist;6.980000
pentoxifylline;adenosine a2a receptor;C04AD03;antagonist;5.000000
regadenoson;adenosine a2a receptor;C01EB21;agonist;6.436111
theophylline;adenosine a2a receptor;R03DA04;antagonist;5.342216
adenosine;adenosine a2b receptor;C01EB10;agonist;4.820000
caffeine;adenosine a2b receptor;N06BC01;antagonist;4.857012
istradefylline;adenosine a2b receptor;N04-1;antagonist;5.000000
pentoxifylline;adenosine a2b receptor;C04AD03;antagonist;5.290000
regadenoson;adenosine a2b receptor;C01EB21;agonist;5.000000
theophylline;adenosine a2b receptor;R03DA04;antagonist;4.793438
adenosine;adenosine a3 receptor;C01EB10;agonist;6.540000
caffeine;adenosine a3 receptor;N06BC01;antagonist;4.939636
iloperidone;adenosine a3 receptor;N05AX14;NA;5.000000
istradefylline;adenosine a3 receptor;N04-1;antagonist;5.350000
nicardipine;adenosine a3 receptor;C08CA04;antagonist;5.500000
regadenoson;adenosine a3 receptor;C01EB21;agonist;5.000000
theophylline;adenosine a3 receptor;R03DA04;antagonist;4.661007
acetylsalicylic acid;alpha1a-adrenoceptor;A01AD05. B01AC06. N02BA01;NA;5.000000
alfuzosin;alpha1a-adrenoceptor;G04CA01;antagonist;8.100000
amisulpride;alpha1a-adrenoceptor;N05AL05;NA;5.000000
amitriptyline;alpha1a-adrenoceptor;N06AA09;antagonist;8.397940
apomorphine;alpha1a-adrenoceptor;G04BE07. N04BC07;NA;5.700000
aripiprazole;alpha1a-adrenoceptor;N05AX12;antagonist;7.592381
bromocriptine;alpha1a-adrenoceptor;N04BC01. G02CB01;partial agonist;8.380000
bupropion;alpha1a-adrenoceptor;N06AX12;NA;4.795880
cabergoline;alpha1a-adrenoceptor;N04BC06. G02CB03;antagonist;6.519969
celecoxib;alpha1a-adrenoceptor;L01XX33. M01AH01;NA;5.000000
chlorpromazine;alpha1a-adrenoceptor;N05AA01;Antagonist;9.552842
citalopram;alpha1a-adrenoceptor;N06AB04;NA;5.000000
clomipramine;alpha1a-adrenoceptor;N06AA04;NA;8.494850
clonidine;alpha1a-adrenoceptor;C02AC01. N02CX02. S01EA04;agonist;6.500000
clozapine;alpha1a-adrenoceptor;N05AH02;antagonist;8.438198
cocaine;alpha1a-adrenoceptor;N01BC01. R02AD03. S01HA01. S02DA02;NA;5.679438
cyproheptadine;alpha1a-adrenoceptor;R06AX02;antagonist;7.400000
desipramine;alpha1a-adrenoceptor;N06AA01;antagonist;7.638272
dexmedetomidine;alpha1a-adrenoceptor;N05CM18;NA;6.699999
diclofenac;alpha1a-adrenoceptor;D11AX18. M01AB05. M02AA15. S01BC03;NA;5.000000
doxazosin;alpha1a-adrenoceptor;C02CA04;antagonist;9.300000
duloxetine;alpha1a-adrenoceptor;N06AX21;NA;6.000000
ephedrine;alpha1a-adrenoceptor;C01CA26. R01AA03. R01AB05. R03CA02. S01FB02;NA;5.000000
epinephrine;alpha1a-adrenoceptor;A01AD01. B02BC09. C01CA24. R01AA14. R03AA01. S01EA01;agonist;5.893971
ergotamine;alpha1a-adrenoceptor;N02CA02;partial agonist;5.000000
escitalopram;alpha1a-adrenoceptor;N06AB10;antagonist;5.412289
etoricoxib;alpha1a-adrenoceptor;M01AH05;NA;5.000000
fenfluramine;alpha1a-adrenoceptor;A08AA02;NA;5.731600
fluoxetine;alpha1a-adrenoceptor;N06AB03;NA;5.698970
fluphenazine;alpha1a-adrenoceptor;N05AB02;NA;8.190453
haloperidol;alpha1a-adrenoceptor;N05AD01;NA;7.920819
