AE;Target;Action;Intercept;Slope;SE;p_value;Rank;BH20;Sign20
disturbance in attention;Muscarinic M3 receptor;Antagonist;3.74;-0.33;0.08;0.001264;  1;0,0004048583;FALSE
gambling;Serotonin 5-HT2 receptor;Partial Agonist;-355.34;54.79;2.64;0.002309;  2;0,0008097166;FALSE
disturbance in attention;Muscarinic M1 receptor;Antagonist;3.96;-0.36;0.1;0.002611;  3;0,0012145749;FALSE
loss of personal independence in daily activities;Serotonin 5-HT2 receptor;Inverse Agonist;-6.78;0.85;0.14;0.004115;  4;0,0016194332;FALSE
crime;Serotonin 5-HT2 receptor;Antagonist;-180.98;29.72;1.95;0.004282;  5;0,0020242915;FALSE
loss of employment;Progesterone receptor;Agonist;-8.44;1.23;0.1;0.005993;  6;0,0024291498;FALSE
aggression;Serotonin 5-HT6 receptor;Inverse Agonist;-31.05;4.39;1.09;0.006879;  7;0,0028340081;FALSE
disability;Serotonin 5-HT6 receptor;Inverse Agonist;12.35;-1.5;0.23;0.007471;  8;0,0032388664;FALSE
impaired driving ability;Dopamine D3 receptor;Agonist;5.42;-0.58;0.05;0.007726;  9;0,0036437247;FALSE
aggression;Dopamine D4 receptor;Antagonist;-18.22;2.86;0.82;0.00797; 10;0,0040485830;FALSE
disturbance in attention;Muscarinic M4 receptor;Antagonist;3.36;-0.3;0.09;0.01027; 11;0,0044534413;FALSE
loss of personal independence in daily activities;Muscarinic M2 receptor;Antagonist;-4.56;0.67;0.21;0.010324; 12;0,0048582996;FALSE
disturbance in attention;Muscarinic M5 receptor;Antagonist;3.72;-0.35;0.1;0.010596; 13;0,0052631579;FALSE
loss of personal independence in daily activities;Muscarinic M3 receptor;Antagonist;-4.48;0.63;0.21;0.011209; 14;0,0056680162;FALSE
drug diversion;Mu opioid receptor;Agonist;-20.75;5.36;1.62;0.012787; 15;0,0060728745;FALSE
physical assault;Serotonin 5-HT1 receptor;Agonist;-2.83;0.79;0.1;0.01533; 16;0,0064777328;FALSE
speech disorder;Norepinephrine transporter;Antagonist;-4.27;0.92;0.35;0.015682; 17;0,0068825911;FALSE
loss of personal independence in daily activities;Serotonin transporter;Antagonist;1.63;-0.14;0.05;0.018116; 18;0,0072874494;FALSE
physical assault;Serotonin 5-HT2 receptor;Inverse Agonist;11.76;-1.18;0.31;0.01927; 19;0,0076923077;FALSE
impaired quality of life;Mu opioid receptor;Agonist;-0.36;0.1;0.03;0.020437; 20;0,0080971660;FALSE
loss of employment;Serotonin transporter;Antagonist;13.3;-1.49;0.53;0.021413; 21;0,0085020243;FALSE
loss of personal independence in daily activities;Muscarinic M1 receptor;Antagonist;-4.19;0.6;0.23;0.024351; 22;0,0089068826;FALSE
speech disorder;Monoamine oxidase B;Antagonist;3.67;-0.42;0.07;0.025063; 23;0,0093117409;FALSE
loss of personal independence in daily activities;Dopamine D5 receptor;Antagonist;-4.62;0.74;0.18;0.025178; 24;0,0097165992;FALSE
disability;Dopamine D1 receptor;Antagonist;-47.84;7;2.03;0.02619; 25;0,0101214575;FALSE
speech disorder;Adrenergic Alpha2 receptor;Antagonist;22.82;-2.9;0.86;0.027615; 26;0,0105263158;FALSE
