AE;Target;Action;Intercept;Slope;SE;p_value
aggression;Serotonin 5-ht2a receptor;antagonist;1.73;0.1;0.44;0.822871
aggression;Serotonin 5-ht2c receptor;antagonist;-2.29;0.61;0.34;0.117463
aggression;dopamine d2 receptor;antagonist;-5.25;1.06;0.67;0.129931
aggression;histamine h1 receptor;antagonist;1.76;0.11;0.36;0.77138
aggression;dopamine d1 receptor;antagonist;-34.13;5.09;3.19;0.161656
aggression;dopamine d3 receptor;antagonist;0.35;0.35;0.75;0.645267
aggression;dopamine d4 receptor;antagonist;-15.82;2.58;0.95;0.0304
aggression;dopamine d5 receptor;antagonist;3.19;-0.1;0.27;0.726661
aggression;Serotonin 5-ht1a receptor;agonist;5.92;-0.54;0.33;0.241897
aggression;Serotonin 5-ht1a receptor;antagonist;-4.09;1.26;1.44;0.409318
aggression;Serotonin 5-ht1b receptor;agonist;3.66;-0.23;0.38;0.590534
aggression;Serotonin 5-ht1b receptor;antagonist;-22.73;4.07;2.82;0.385334
aggression;Serotonin 5-ht1d receptor;agonist;3.64;-0.22;0.23;0.401574
aggression;Serotonin 5-ht1d receptor;antagonist;-9.01;1.74;0.41;0.051472
aggression;Serotonin 5-ht1e receptor;agonist;5.59;-0.52;0.27;0.148209
aggression;Serotonin 5-ht7 receptor;antagonist;4.85;-0.16;1;0.88185
aggression;Serotonin 5-ht1f receptor;agonist;-1.94;0.71;0.07;0.058487
antisocial behaviour;Serotonin 5-ht2a receptor;antagonist;0.91;0.15;0.67;0.835795
antisocial behaviour;Serotonin 5-ht2c receptor;antagonist;2.88;-0.11;0.69;0.900146
antisocial behaviour;dopamine d2 receptor;antagonist;1.98;0.19;1.96;0.927854
antisocial behaviour;histamine h1 receptor;antagonist;-3;0.59;0.2;0.041175
antisocial behaviour;dopamine d3 receptor;antagonist;5.29;-0.57;0.14;0.15288
antisocial behaviour;Serotonin 5-ht1a receptor;agonist;6.11;-0.58;0.11;0.119226
antisocial behaviour;Serotonin 5-ht1b receptor;agonist;-56.97;9.5;1.44;0.09599
antisocial behaviour;Serotonin 5-ht1d receptor;agonist;9.23;-1.13;0.48;0.141581
antisocial behaviour;Serotonin 5-ht1e receptor;agonist;7.97;-0.92;0.31;0.20681
antisocial behaviour;Serotonin 5-ht1f receptor;agonist;3.17;-0.12;0.51;0.858165
compulsive shopping;Serotonin 5-ht2a receptor;antagonist;-168.67;25.37;57.09;0.733822
compulsive shopping;histamine h1 receptor;antagonist;389.81;-43.7;25.42;0.335377
compulsive shopping;Serotonin 5-ht1d receptor;agonist;-299.24;50.42;26.5;0.308097
crime;Serotonin 5-ht2a receptor;antagonist;-63.55;9.66;12.57;0.485199
crime;Serotonin 5-ht2c receptor;antagonist;-105.31;18.17;25.64;0.607494
crime;dopamine d2 receptor;antagonist;-6.89;1.31;2.22;0.61405
crime;histamine h1 receptor;antagonist;15.4;-1.63;0.78;0.126671
crime;dopamine d3 receptor;antagonist;-10.23;2;1.95;0.491225
crime;Serotonin 5-ht1a receptor;antagonist;-200.61;36.84;102.82;0.780998
crime;Serotonin 5-ht1d receptor;agonist;-3.52;0.84;0.61;0.398608
disability;Serotonin 5-ht2a receptor;antagonist;3.03;-0.24;0.44;0.593081
disability;Serotonin 5-ht2c receptor;antagonist;1.06;-0.04;0.19;0.830234
disability;dopamine d2 receptor;antagonist;2.43;-0.17;0.78;0.835841
disability;histamine h1 receptor;antagonist;3.83;-0.35;0.45;0.457024
disability;dopamine d1 receptor;antagonist;-19.8;2.97;3.03;0.382732
disability;dopamine d3 receptor;antagonist;-2.83;0.61;1.47;0.700209
disability;dopamine d4 receptor;antagonist;0.64;-0.01;0.16;0.933992
disability;dopamine d5 receptor;antagonist;-14.81;2.52;1.17;0.120007
disability;Serotonin 5-ht1a receptor;agonist;0.99;-0.09;0.08;0.390162
disability;Serotonin 5-ht1a receptor;antagonist;-3.9;0.74;0.34;0.164444
disability;Serotonin 5-ht1b receptor;agonist;7.43;-0.87;1.02;0.455422
disability;Serotonin 5-ht1d receptor;agonist;1.02;0.02;0.75;0.975475
disability;Serotonin 5-ht1e receptor;agonist;0.96;-0.09;0.08;0.339373
disability;Serotonin 5-ht7 receptor;antagonist;0.04;0.07;0;0.010059
disability;Serotonin 5-ht1f receptor;agonist;1.61;-0.19;0.18;0.472443
disturbance in attention;Serotonin 5-ht2a receptor;antagonist;0.36;0.08;0.24;0.742421
disturbance in attention;Serotonin 5-ht2c receptor;antagonist;-0.03;0.14;0.4;0.73098
disturbance in attention;dopamine d2 receptor;antagonist;1.81;-0.11;0.14;0.431706
disturbance in attention;histamine h1 receptor;antagonist;1.23;-0.05;0.13;0.702375
disturbance in attention;dopamine d1 receptor;antagonist;-5.75;0.88;0.79;0.329409
disturbance in attention;dopamine d3 receptor;antagonist;0.91;0.02;0.34;0.96385
disturbance in attention;dopamine d4 receptor;antagonist;-0.47;0.18;0.21;0.410951
disturbance in attention;dopamine d5 receptor;antagonist;-3.39;0.59;0.44;0.271678
disturbance in attention;Serotonin 5-ht1a receptor;agonist;1.62;-0.14;0.13;0.390083
