"","Evento Avverso","Set","Num","Num(%)","F(%)","M(%)","HCP(%)","C(%)","età media","età mediana","età DS","peso media","peso mediana","peso DS"
"2","","Non_Case","0","0","NaN","NaN","NaN","NaN","NaN",NA,NA,"NaN",NA,NA
"3","","Case","439","100","42.6","51.25","48.06","46.92","57","58","13","82.1","80","23.3"
"4","gambling","Non_Case","203","46.24","35.96","56.16","71.43","24.63","61","63","14","73.1","71.5","18.1"
"5","gambling","Case","236","53.76","48.31","47.03","27.97","66.1","53","53","11","87.7","84","24.6"
"51","compulsive shopping","Non_Case","378","86.1","40.48","53.44","48.15","46.56","58","59","14","80.7","79","22.4"
"6","compulsive shopping","Case","61","13.9","55.74","37.7","47.54","49.18","53","54","11","90.7","86.8","27.5"
"7","hypersexuality","Non_Case","361","82.23","47.92","46.81","45.15","49.03","58","59","14","82.4","80","24.4"
"8","hypersexuality","Case","78","17.77","17.95","71.79","61.54","37.18","53","54","12","80.5","79","17.6"
"9","impulse-control disorder","Non_Case","378","86.1","45.24","49.47","42.06","52.65","57","59","14","81.7","80","23.4"
"10","impulse-control disorder","Case","61","13.9","26.23","62.3","85.25","11.48","58","56","10","90.4","96","23.8"
