AE;Target;Action;Intercept;Slope;SE;p_value;Pearson;Rank;BH20;Sign20
hypersexuality;Dopamine D2 receptor;Agonist;109.3;-8.45;2.25;0.009475;-0.84; 1;0,008;FALSE
compulsive shopping;Dopamine D1 receptor;Agonist;32.31;-3.07;0.92;0.029057;-0.86; 2;0,016;FALSE
compulsive shopping;Dopamine D2 receptor;Agonist;72.11;-6.27;2.46;0.043679;-0.72; 3;0,024;FALSE
gambling;Dopamine D2 receptor;Agonist;210.4;-20.47;8.81;0.059156;-0.69; 4;0,032;FALSE
gambling disorder;Dopamine D4 receptor;Agonist;-168.82;28.72;10.75;0.075597;0.84; 5;0,040;FALSE
gambling disorder;Dopamine D2 receptor;Agonist;181.29;-16.9;8.29;0.097163;-0.67; 6;0,048;FALSE
compulsive shopping;Dopamine D5 receptor;Agonist;29.54;-2.55;1.28;0.116655;-0.71; 7;0,056;FALSE
compulsive shopping;Dopamine D3 receptor;Agonist;77.03;-7.16;4.28;0.145855;-0.56; 8;0,064;FALSE
impulsive behaviour;Dopamine D2 receptor;Agonist;-3.35;0.75;0.46;0.201627;0.69; 9;0,072;FALSE
gambling;Dopamine D4 receptor;Agonist;-145.54;24.76;16.3;0.203458;0.6;10;0,080;FALSE
impulsive behaviour;Dopamine D4 receptor;Agonist;6.59;-0.52;0.29;0.214392;-0.79;11;0,088;FALSE
compulsive shopping;Dopamine D4 receptor;Agonist;-16.56;4.3;3.66;0.305211;0.51;12;0,096;FALSE
gambling disorder;Dopamine D3 receptor;Agonist;-84.3;15.19;14.86;0.353478;0.42;13;0,104;FALSE
impulsive behaviour;Dopamine D3 receptor;Agonist;10.58;-0.91;0.91;0.392503;-0.5;14;0,112;FALSE
gambling disorder;Dopamine D1 receptor;Agonist;-33.06;10.29;10.73;0.408298;0.48;15;0,120;FALSE
gambling;Dopamine D1 receptor;Agonist;58.7;-5.51;6.89;0.468762;-0.37;16;0,128;FALSE
gambling;Dopamine D3 receptor;Agonist;-64.33;12.26;17.01;0.498128;0.28;17;0,136;FALSE
gambling disorder;Dopamine D5 receptor;Agonist;-9.49;5.95;8.23;0.522106;0.39;18;0,144;FALSE
hypersexuality;Dopamine D3 receptor;Agonist;63.92;-3.27;5.86;0.597122;-0.22;19;0,152;FALSE
impulsive behaviour;Dopamine D1 receptor;Agonist;5.52;-0.32;0.53;0.603059;-0.4;20;0,160;FALSE
hypersexuality;Dopamine D4 receptor;Agonist;11.3;3.28;6.14;0.621717;0.26;21;0,168;FALSE
gambling;Dopamine D5 receptor;Agonist;46.76;-3.51;7.28;0.6551;-0.23;22;0,176;FALSE
impulsive behaviour;Dopamine D5 receptor;Agonist;4.56;-0.17;0.56;0.790391;-0.21;23;0,184;FALSE
hypersexuality;Dopamine D5 receptor;Agonist;40.65;-1.17;4.88;0.822491;-0.12;24;0,192;FALSE
hypersexuality;Dopamine D1 receptor;Agonist;32.29;0.12;4.87;0.981049;0.01;25;0,200;FALSE
