AE;Target;Action;Intercept;Slope;SE;p_value;Pearson;Rank;BH20;Sign20
disturbance in attention;Muscarinic M3 receptor;Antagonist;4.14;-0.37;0.09;0.001204;-0.77;  1;0,0003372681;FALSE
aggression;Dopamine D4 receptor;Antagonist;-14.7;2.31;0.49;0.001533;0.86;  2;0,0006745363;FALSE
loss of personal independence in daily activities;Serotonin 5-HT2 receptor;Inverse Agonist;-6.91;0.86;0.14;0.001593;0.94;  3;0,0010118044;FALSE
loss of personal independence in daily activities;Muscarinic M2 receptor;Antagonist;-7.05;0.99;0.26;0.004316;0.78;  4;0,0013490725;FALSE
crime;Serotonin 5-HT2 receptor;Antagonist;-131.56;21.71;1.49;0.004671;1;  5;0,0016863406;FALSE
disturbance in attention;Muscarinic M5 receptor;Antagonist;4.02;-0.38;0.11;0.005374;-0.77;  6;0,0020236088;FALSE
aggression;Serotonin 5-HT6 receptor;Inverse Agonist;-14.2;2.15;0.52;0.006223;0.86;  7;0,0023608769;FALSE
loss of personal independence in daily activities;Muscarinic M3 receptor;Antagonist;-7.15;0.96;0.29;0.007136;0.7;  8;0,0026981450;FALSE
disturbance in attention;Muscarinic M1 receptor;Antagonist;3.94;-0.36;0.11;0.007519;-0.66;  9;0,0030354132;FALSE
disability;Serotonin 5-HT6 receptor;Inverse Agonist;10.31;-1.25;0.22;0.010342;-0.96; 10;0,0033726813;FALSE
sexual abuse;Norepinephrine transporter;Antagonist;5.89;-0.64;0.18;0.011982;-0.82; 11;0,0037099494;FALSE
physical assault;Serotonin 5-HT1 receptor;Agonist;-1.52;0.59;0.07;0.012907;0.99; 12;0,0040472175;FALSE
disturbance in attention;Melatonin receptor;Agonist;7.31;-0.55;0.07;0.01379;-0.99; 13;0,0043844857;FALSE
speech disorder;Adrenergic Alpha2 receptor;Antagonist;21.36;-2.74;0.74;0.014381;-0.85; 14;0,0047217538;FALSE
disturbance in attention;Muscarinic M4 receptor;Antagonist;3.47;-0.31;0.11;0.015768;-0.68; 15;0,0050590219;FALSE
impaired work ability;Serotonin transporter;Antagonist;2.49;-0.21;0.08;0.016849;-0.5; 16;0,0053962901;FALSE
loss of employment;Progesterone receptor;Agonist;-12.1;1.73;0.24;0.018297;0.98; 17;0,0057335582;FALSE
loss of personal independence in daily activities;Dopamine D5 receptor;Antagonist;-6.11;0.96;0.21;0.020492;0.93; 18;0,0060708263;FALSE
verbal abuse;Serotonin 5-HT2 receptor;Antagonist;-59.57;9.79;2.97;0.02167;0.83; 19;0,0064080944;FALSE
speech disorder;Serotonin 5-HT6 receptor;Inverse Agonist;17.99;-2.06;0.67;0.022344;-0.78; 20;0,0067453626;FALSE
school refusal;Norepinephrine transporter;Antagonist;-16.08;2.84;0.44;0.022689;0.98; 21;0,0070826307;FALSE
disturbance in attention;Dopamine D4 receptor;Antagonist;-1.96;0.38;0.14;0.026307;0.66; 22;0,0074198988;FALSE
hypersexuality;Adrenergic Alpha1 receptor;Antagonist;170.46;-20.55;3.4;0.026324;-0.97; 23;0,0077571669;FALSE
loss of personal independence in daily activities;Muscarinic M1 receptor;Antagonist;-6.23;0.87;0.35;0.028241;0.58; 24;0,0080944351;FALSE
disability;Dopamine D1 receptor;Antagonist;-47.47;6.93;2.06;0.028303;0.86; 25;0,0084317032;FALSE
drug diversion;Serotonin transporter;Antagonist;4.93;-0.53;0.19;0.029059;-0.76; 26;0,0087689713;FALSE
drug diversion;Serotonin 5-HT2 receptor;Antagonist;-13.83;2.27;0.69;0.029816;0.86; 27;0,0091062395;FALSE
homicide;Delta opioid receptor;Agonist;13.24;-1.57;0.41;0.031021;-0.91; 28;0,0094435076;FALSE
social anxiety disorder;Dopamine D2 receptor;Antagonist;15.76;-1.67;0.44;0.032482;-0.91; 29;0,0097807757;FALSE
aggression;Muscarinic M3 receptor;Antagonist;11.26;-1.11;0.46;0.033862;-0.59; 30;0,0101180438;FALSE
disturbance in attention;Muscarinic M2 receptor;Antagonist;3.04;-0.27;0.11;0.034762;-0.61; 31;0,0104553120;FALSE
gambling;Serotonin 5-HT2 receptor;Partial Agonist;-239.06;37.72;7.28;0.035313;0.96; 32;0,0107925801;FALSE
loss of employment;Serotonin transporter;Antagonist;12.82;-1.44;0.6;0.037918;-0.6; 33;0,0111298482;FALSE
disability;Dopamine D5 receptor;Antagonist;-24.31;3.8;1.07;0.038161;0.9; 34;0,0114671164;FALSE
speech disorder;Dopamine D2 receptor;Partial Agonist;3.02;-0.29;0.08;0.038705;-0.9; 35;0,0118043845;FALSE
hypersexuality;Dopamine transporter;Antagonist;-0.41;0.13;0.03;0.039611;0.96; 36;0,0121416526;FALSE
speech disorder;Serotonin 5-HT7 receptor;Inverse Agonist;15.17;-1.69;0.65;0.040158;-0.73; 37;0,0124789207;FALSE
speech disorder;Norepinephrine transporter;Antagonist;-2.75;0.64;0.3;0.040306;0.39; 38;0,0128161889;FALSE
impaired quality of life;Mu opioid receptor;Agonist;-0.3;0.07;0.02;0.04035;0.83; 39;0,0131534570;FALSE
loss of personal independence in daily activities;Dopamine D1 receptor;Antagonist;-10.9;1.6;0.54;0.040451;0.83; 40;0,0134907251;FALSE
disturbance in attention;Adrenergic Beta2 receptor;Agonist;1.88;-0.18;0.05;0.042599;-0.89; 41;0,0138279933;FALSE
verbal abuse;Serotonin 5-HT7 receptor;Antagonist;0.11;0.39;0.09;0.043657;0.96; 42;0,0141652614;FALSE
impaired work ability;Serotonin 5-HT2 receptor;Inverse Agonist;-6.11;0.76;0.17;0.045274;0.95; 43;0,0145025295;FALSE
aggression;Dopamine D2 receptor;Antagonist;-6.06;1.05;0.49;0.048503;0.45; 44;0,0148397976;FALSE
social avoidant behaviour;Muscarinic M1 receptor;Antagonist;-2.59;0.41;0.1;0.049634;0.95; 45;0,0151770658;FALSE
speech disorder;Dopamine transporter;Antagonist;3.19;-0.42;0.19;0.049879;-0.58; 46;0,0155143339;FALSE
loss of personal independence in daily activities;Progesterone receptor;Agonist;7.54;-0.76;0.3;0.049901;-0.75; 47;0,0158516020;FALSE
verbal abuse;Serotonin 5-HT6 receptor;Inverse Agonist;226.52;-28.01;6.63;0.051739;-0.95; 48;0,0161888702;FALSE
disturbance in attention;Dopamine transporter;Antagonist;-2.15;0.75;0.35;0.052428;0.55; 49;0,0165261383;FALSE
impulse-control disorder;Dopamine D4 receptor;Antagonist;151.8;-18.45;6.05;0.055385;-0.87; 50;0,0168634064;FALSE
speech disorder;Monoamine oxidase B;Antagonist;3.23;-0.37;0.09;0.058241;-0.94; 51;0,0172006745;FALSE
impaired quality of life;Delta opioid receptor;Agonist;1.62;-0.18;0.05;0.059629;-0.94; 52;0,0175379427;FALSE
speech disorder;Serotonin 5-HT2 receptor;Partial Agonist;-11.47;1.75;0.67;0.059869;0.79; 53;0,0178752108;FALSE
loss of personal independence in daily activities;Muscarinic M5 receptor;Antagonist;-5.09;0.75;0.35;0.061785;0.61; 54;0,0182124789;FALSE
impulsive behaviour;Adrenergic Alpha2 receptor;Antagonist;-29.6;4.39;1.51;0.062167;0.86; 55;0,0185497470;FALSE
disturbance in attention;Serotonin 5-HT7 receptor;Inverse Agonist;-3.92;0.57;0.24;0.062988;0.73; 56;0,0188870152;FALSE
impaired driving ability;Dopamine D3 receptor;Agonist;5.61;-0.62;0.16;0.064465;-0.94; 57;0,0192242833;FALSE
language disorder;Dopamine D4 receptor;Antagonist;-128.36;16.7;4.5;0.065595;0.93; 58;0,0195615514;FALSE
aggression;Serotonin 5-HT2 receptor;Inverse Agonist;-12.84;1.87;0.86;0.066603;0.63; 59;0,0198988196;FALSE
aggression;Muscarinic M2 receptor;Antagonist;9.96;-1;0.49;0.071069;-0.56; 60;0,0202360877;FALSE
impulsive behaviour;Norepinephrine transporter;Antagonist;-2.62;0.81;0.41;0.07269;0.54; 61;0,0205733558;FALSE
impaired driving ability;Serotonin 5-HT2 receptor;Inverse Agonist;-6.19;0.77;0.29;0.072792;0.84; 62;0,0209106239;FALSE
impulse-control disorder;Adrenergic Alpha1 receptor;Antagonist;170.13;-20.68;5.91;0.072903;-0.93; 63;0,0212478921;FALSE
impaired driving ability;GABA A receptor;Agonist;29.88;-3.59;1.33;0.073616;-0.84; 64;0,0215851602;FALSE
disturbance in attention;Adrenergic Alpha2 receptor;Partial Agonist;6.26;-0.81;0.24;0.075505;-0.92; 65;0,0219224283;FALSE
unemployment;Serotonin transporter;Antagonist;10.61;-0.89;0.34;0.080172;-0.83; 66;0,0222596965;FALSE
imprisonment;Norepinephrine transporter;Antagonist;4.81;-0.49;0.24;0.080187;-0.61; 67;0,0225969646;FALSE
gambling disorder;Adrenergic Alpha1 receptor;Antagonist;110.53;-13.15;4.05;0.083181;-0.92; 68;0,0229342327;FALSE
aggression;Melatonin receptor;Agonist;11.64;-1.03;0.32;0.083769;-0.92; 69;0,0232715008;FALSE
speech disorder;GABA A receptor;Agonist;-8.04;1.23;0.54;0.084919;0.75; 70;0,0236087690;FALSE
hypersexuality;Serotonin 5-HT1 receptor;Agonist;-4.92;1.02;0.32;0.088024;0.91; 71;0,0239460371;FALSE
aggression;Dopamine transporter;Antagonist;-1.3;0.46;0.25;0.090497;0.49; 72;0,0242833052;FALSE
speech disorder;Muscarinic M5 receptor;Antagonist;-2.38;0.5;0.27;0.090579;0.53; 73;0,0246205734;FALSE
antisocial behaviour;GABA A receptor;Agonist;-2.72;0.5;0.16;0.091433;0.91; 74;0,0249578415;FALSE
aggression;Muscarinic M5 receptor;Antagonist;11.66;-1.2;0.63;0.093258;-0.56; 75;0,0252951096;FALSE
gambling disorder;Serotonin 5-HT2 receptor;Partial Agonist;-219.91;35.09;11.63;0.094468;0.91; 76;0,0256323777;FALSE
impaired work ability;Dopamine transporter;Antagonist;3.51;-0.45;0.24;0.094492;-0.53; 77;0,0259696459;FALSE
impulsive behaviour;Serotonin 5-HT2 receptor;Inverse Agonist;-630.35;75.8;35.03;0.096493;0.73; 78;0,0263069140;FALSE
gambling;Dopamine transporter;Antagonist;6.11;-0.86;0.36;0.096538;-0.81; 79;0,0266441821;FALSE
gambling;Norepinephrine transporter;Antagonist;-14.24;2.46;1.33;0.097422;0.52; 80;0,0269814503;FALSE
aggression;Dopamine D1 receptor;Antagonist;-24.16;3.73;1.9;0.097493;0.63; 81;0,0273187184;FALSE
impulse-control disorder;Serotonin 5-HT1 receptor;Partial Agonist;85.47;-9.24;4.71;0.097657;-0.62; 82;0,0276559865;FALSE
loss of personal independence in daily activities;Muscarinic M4 receptor;Antagonist;-3.63;0.57;0.31;0.098437;0.52; 83;0,0279932546;FALSE
gambling disorder;Norepinephrine transporter;Antagonist;-18.81;3.28;1.77;0.10036;0.55; 84;0,0283305228;FALSE
loss of personal independence in daily activities;Dopamine transporter;Antagonist;2.52;-0.32;0.18;0.101096;-0.52; 85;0,0286677909;FALSE
loss of personal independence in daily activities;Serotonin transporter;Antagonist;1.39;-0.11;0.06;0.10185;-0.35; 86;0,0290050590;FALSE
impaired quality of life;Dopamine D2 receptor;Antagonist;-0.17;0.04;0.02;0.102132;0.9; 87;0,0293423272;FALSE
disturbance in attention;Dopamine D1 receptor;Antagonist;-7.55;1.15;0.56;0.110177;0.72; 88;0,0296795953;FALSE
theft;Mu opioid receptor;Agonist;8.71;-0.71;0.32;0.110768;-0.79; 89;0,0300168634;FALSE
hypersexuality;Dopamine D4 receptor;Antagonist;153.31;-18.68;6.8;0.111055;-0.89; 90;0,0303541315;FALSE
social avoidant behaviour;Dopamine D5 receptor;Antagonist;-14.15;2.39;1.07;0.112797;0.79; 91;0,0306913997;FALSE
impaired self-care;Dopamine transporter;Antagonist;5.11;-0.69;0.26;0.114699;-0.89; 92;0,0310286678;FALSE
hypersexuality;Norepinephrine transporter;Antagonist;2.04;-0.19;0.1;0.115267;-0.6; 93;0,0313659359;FALSE
speech disorder;Glucocorticoid receptor;Agonist;-0.22;0.15;0.09;0.117544;0.46; 94;0,0317032040;FALSE
social avoidant behaviour;Muscarinic M3 receptor;Antagonist;-2.26;0.38;0.14;0.119352;0.88; 95;0,0320404722;FALSE
verbal abuse;Serotonin transporter;Antagonist;-1.37;0.4;0.23;0.119661;0.52; 96;0,0323777403;FALSE
